date,co,no2,o3,pm10,pm25,so2
2016-11-25,1049.5,74.8,72.05,108.0,67.25,25.7
2016-11-26,1096.0,79.2,54.95,98.7,75.1,22.1
2016-11-27,940.5,86.7,51.85,103.0,87.75,22.0
2016-11-28,985.5,83.0,61.45,100.0,82.45,19.9
2016-11-29,1039.0,78.2,44.55,99.2,76.2,30.2
2016-11-30,1043.5,62.5,48.900000000000006,100.0,76.85,23.3
2016-12-01,1240.0,58.7,50.150000000000006,107.0,91.75,24.9
2016-12-02,1255.0,53.9,44.349999999999994,103.0,70.94999999999999,19.8
2016-12-03,696.5,39.8,36.25,102.0,62.25,23.4
2016-12-04,1060.0,40.3,24.1,99.4,59.6,17.1
2016-12-05,837.0,44.8,34.4,107.0,69.35,16.4
2016-12-06,822.5,49.9,69.8,111.0,81.80000000000001,22.3
2016-12-07,949.0,50.9,68.05,108.0,76.6,20.4
2016-12-08,1240.0,56.5,56.55,102.0,94.3,22.6
2016-12-09,823.5,56.8,69.45,102.0,101.3,25.8
2016-12-10,779.0,69.9,54.95,95.2,77.65,23.9
2016-12-11,690.0,62.9,71.8,98.3,80.69999999999999,26.3
2016-12-12,507.5,51.6,74.45,120.0,59.0,24.5
2016-12-13,669.5,47.5,53.25,101.0,49.45,24.5
2016-12-14,847.5,48.4,29.75,85.1,60.65,16.1
2016-12-15,1027.0,47.8,45.95,115.0,76.1,22.9
2016-12-16,1360.0,51.6,46.849999999999994,112.0,79.65,18.5
2016-12-17,1252.0,50.5,44.2,101.0,72.69999999999999,22.9
2016-12-18,830.0,60.3,52.849999999999994,95.7,65.8,18.8
2016-12-19,736.5,58.3,65.75,111.0,64.55000000000001,22.1
2016-12-20,1080.0,71.0,59.65,101.0,81.75,27.5
2016-12-21,1112.0,68.2,53.25,100.0,87.35,27.8
2016-12-22,1095.0,68.5,47.699999999999996,103.0,105.15,25.7
2016-12-23,1255.0,69.1,43.099999999999994,98.1,90.7,23.1
2016-12-24,1620.0,68.5,17.5,94.0,97.5,25.8
2016-12-25,1340.0,72.0,32.8,100.0,77.6,21.6
2016-12-26,1165.0,58.7,23.6,101.0,98.3,10.8
2016-12-27,913.0,76.3,70.7,97.8,60.900000000000006,19.8
2016-12-28,1156.5,61.9,52.95,101.0,79.75,15.6
2016-12-29,1240.0,67.6,55.95,110.0,98.75,11.5
2016-12-30,1765.0,64.9,44.75,98.5,105.0,8.09
2016-12-31,1250.0,59.0,45.5,97.3,95.9,9.93
2017-01-01,1080.5,62.7,49.6,101.0,81.95,8.11
2017-01-02,933.5,44.0,61.7,94.8,67.6,11.5
2017-01-03,997.0,48.2,52.95,113.0,82.6,11.9
2017-01-04,1066.0,46.6,63.0,160.0,91.9,21.5
2017-01-05,1438.0,61.4,45.75,203.0,103.75,21.7
2017-01-06,1720.0,57.1,44.15,200.0,76.5,33.8
2017-01-07,1515.0,50.5,45.0,80.6,88.05000000000001,16.4
2017-01-08,1218.0,48.9,55.199999999999996,119.0,75.9,30.1
2017-01-09,958.5,47.5,56.2,109.0,62.4,24.2
2017-01-10,1340.0,39.6,30.7,122.0,74.4,24.7
2017-01-11,1166.5,47.8,68.65,145.0,78.5,35.1
2017-01-12,1216.0,60.8,66.1,165.0,90.3,30.1
2017-01-13,1132.5,58.7,65.94999999999999,153.0,94.3,29.3
2017-01-14,1525.0,52.6,68.15,140.0,84.9,23.9
2017-01-15,1237.0,49.7,60.099999999999994,138.0,92.05,26.9
2017-01-16,1371.5,57.7,49.5,155.0,89.95,24.8
2017-01-17,1278.5,57.3,44.45,136.0,80.44999999999999,23.8
2017-01-18,1141.0,49.1,55.849999999999994,117.0,65.55,24.5
2017-01-19,1074.0,50.2,52.2,136.0,83.85,27.8
2017-01-20,1290.0,54.4,48.900000000000006,146.0,87.4,31.8
2017-01-21,1369.5,59.0,42.2,147.0,81.3,26.7
2017-01-22,950.0,65.0,45.65,113.0,73.9,0.231
2017-01-23,874.0,,32.3,,105.0,
2017-01-24,1357.0,53.5,63.75,138.0,77.15,35.5
2017-01-25,1078.5,49.0,62.3,150.0,89.35,23.6
2017-01-26,1106.5,48.0,70.35,130.0,60.849999999999994,29.2
2017-01-27,1063.5,51.2,59.05,123.0,57.0,9.2
2017-01-28,881.5,49.5,53.7,141.0,87.05,66.6
2017-01-29,1172.5,41.8,63.45,151.0,90.45,18.4
2017-01-30,1043.5,43.6,40.35,151.0,78.69999999999999,13.4
2017-01-31,1110.0,,60.3,,89.7,
2017-02-01,1082.5,47.4,47.05,111.0,56.15,20.6
2017-02-02,1174.5,48.6,50.150000000000006,121.0,64.65,30.8
2017-02-03,1303.5,49.8,46.25,145.0,73.6,20.3
2017-02-04,1165.0,57.8,43.0,189.0,59.0,16.7
2017-02-05,1260.5,44.3,60.7,128.0,73.7,26.6
2017-02-06,1337.5,48.6,57.0,151.0,81.75,16.8
2017-02-07,1539.5,57.0,57.75,198.0,98.45,22.8
2017-02-08,1205.0,54.9,53.05,176.0,70.19999999999999,24.8
2017-02-09,1418.5,51.9,58.099999999999994,179.0,94.3,31.8
2017-02-10,1041.5,41.9,68.55,144.0,82.0,12.8
2017-02-11,975.5,43.3,70.8,114.0,62.05,28.8
2017-02-12,1007.0,42.0,51.0,92.4,47.3,31.1
2017-02-13,1090.5,41.7,49.3,101.0,49.5,23.7
2017-02-14,1069.5,44.0,39.25,132.0,74.80000000000001,27.2
